Spot, Strike, Vol, Expiry, BSC_An_Vega, BSC_Bumped_Vega, MC_Results, NumberOfPaths 
45,50,0.0480001,0.6,1.85097,1.85104,0.0166721,10000,
45,50,0.0480001,0.8,5.20567,5.20563,0.0582801,10000,
45,50,0.0480001,1,9.48788,9.48779,0.137891,10000,
45,50,0.0860001,1e-07,1e-07,1e-07,1e-07,10000,
45,50,0.0860001,0.2,0.389328,0.38934,0.00617628,10000,
45,50,0.0860001,0.4,3.45703,3.45701,0.0675886,10000,
45,50,0.0860001,0.6,7.61059,7.61053,0.20192,10000,
45,50,0.0860001,0.8,11.5546,11.5547,0.390987,10000,
45,50,0.0860001,1,14.9886,14.9887,0.620341,10000,
45,50,0.124,1e-07,1e-07,1e-07,1e-07,10000,
45,50,0.124,0.2,1.91891,1.91893,0.0501362,10000,
45,50,0.124,0.4,6.54785,6.54781,0.259223,10000,
45,50,0.124,0.6,10.602,10.6021,0.550733,10000,
45,50,0.124,0.8,13.9245,13.9245,0.879312,10000,
45,50,0.124,1,16.6735,16.6735,1.22403,10000,
45,50,0.162,1e-07,1e-07,1e-07,1e-07,10000,
45,50,0.162,0.2,3.53874,3.5387,0.154174,10000,
45,50,0.162,0.4,8.36365,8.36369,0.542176,10000,
45,50,0.162,0.6,12.0334,12.0335,0.981912,10000,
45,50,0.162,0.8,14.9464,14.9464,1.42767,10000,
45,50,0.162,1,17.3524,17.3524,1.86819,10000,
45,50,0.2,1e-07,1e-07,1e-07,1e-07,10000,
45,50,0.2,0.2,4.76517,4.76515,0.310095,10000,
45,50,0.2,0.4,9.41739,9.41746,0.879671,10000,
45,50,0.2,0.6,12.7901,12.7902,1.4532,10000,
45,50,0.2,0.8,15.4573,15.4573,2.00345,10000,
45,50,0.2,1,17.674,17.6739,2.53108,10000,
45.5,50,0.0100001,1e-07,1e-07,1e-07,1e-07,10000,
45.5,50,0.0100001,0.2,1e-07,1e-07,1e-07,10000,
45.5,50,0.0100001,0.4,1e-07,1e-07,1e-07,10000,
45.5,50,0.0100001,0.6,1e-07,1e-07,1e-07,10000,
45.5,50,0.0100001,0.8,2.644e-07,2.62864e-07,1e-07,10000,
45.5,50,0.0100001,1,0.00101166,0.00100817,4.19755e-05,10000,
45.5,50,0.0480001,1e-07,1e-07,1e-07,1e-07,10000,
45.5,50,0.0480001,0.2,0.00378462,0.00377759,0.000236542,10000,
45.5,50,0.0480001,0.4,0.595562,0.595584,0.00521796,10000,
45.5,50,0.0480001,0.6,3.25256,3.25259,0.0326046,10000,
45.5,50,0.0480001,0.8,7.4931,7.49301,0.100013,10000,
